PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes
1171,"LIN","18,31. 19,1. 58,8","`Winnibriggs'","[East and West] Allington","Kesteven",,,
1176,"SUS","10,103. 12,50(-52)","Barcombe","Allington","Lewes",,"TQ3813",
1181,"WIL","26,1","`Studfold'","Allington",,,"SU0663",
1186,"WIL","16,3. 23,7","Amesbury","Allington",,,"SU2039",
1191,"DEV","30,3","Diptford","[East] Allington",,,"SX7748",
1196,"DEV","17,53","Chillington","[South] Allington",,,"SX7938",
1201,"DEV","52,6","Merton","Allisland",,,"SS4811",
1206,"HAM","NF7,1","Boldre","Allum",,,"SU2707",
1211,"HEF","6,8","Elsdon","Almeley",,,"SO3351",
1216,"STS","8,22","Pirehill","Almington",,,"SJ7034",
1221,"DEV","42,3","Hartland","Alminstone",,,"SS3420",
1226,"YKS","9W105. SW,Ag7","Agbrigg","Almondbury","West Riding",,"SE1615",
1231,"GLS","1,15","Berkeley","Almondsbury",,,"ST6084",
1236,"HRT","5,5","Broadwater","Almshoe [Bury] and [Little] Almshoe",,,,
1241,"SOM","21,56","Carhampton","`Almsworthy'",,,"SS8239",
1246,"HEF","29,9","Stradel","{Almundestune}",,,"SO3438","speculative"
1251,"YKS","2N24. SN,B23","`Bulford'","Alne","North Riding",,"SE4965",
1256,"WAR","10,1","{Fernecumbe}","Alne",,,"SP1259",
1261,"SUF","8,13","Carlford","Alnesbourn",,,"TM1940",
1266,"SUF","21,47","`Blything'","{Alneterne}",,,,"unknown"
1271,"ESS","11,4. 23,19. 90,60","`Hinckford'","Alphamstone",,,"TL8735",
1276,"DEV","1,43","Wonford","Alphington",,,"SX9189",
1281,"NFK","9,52 note;68 and note. 12,17 and note;25 note;26 note","`Henstead'","Alpington",,,"TG2901",
1286,"CHS","17,2","Rushton","Alpraham",,,"SJ5859",
1291,"DEV","16,167","Axminster","{Alreford}",,,,"unknown"
1296,"ESS","4,4. 18,44. 20,65. 23,33","Tendring","Alresford",,,"TM0620",
1301,"HAM","2,1","Fawley","Alresford",,,"SU5833",
1306,"CHS","1,20","Rushton","`Alretone'",,,"SJ5465","speculative"
1311,"CHS","13,7","{Tunendune}","`Alretunstall'",,,"SJ7888","approximate"
1316,"STS","1,11","Offlow","Alrewas",,,"SK1615",
1321,"CHS","1,32","Middlewich","Alsager",,,"SJ7955",
1326,"DBY","1,15","Hamston","Alsop [-en-le-Dale]",,,"SK1655",
1331,"WAR","15,1","Coleshill","Alspath",,,"SP2582",
1336,"DEV","17,40","Diptford","Alston",,,"SX7140",
1341,"SUF","2,19. 7,96;101;113","`Colnes'","`Alston'",,,"TM2634",
1346,"SOM","24,14","Bempstone","Alston [Sutton]",,,"ST4151",
1351,"GLS","E19 note","`Oswaldslow'","Alstone",,,"SO9832",
1356,"SOM","24,33","Huntspill","Alstone",,,"ST3146",
1361,"STS","11,6","Cuttlestone","Alstone and [Lower] Alstone",,,"SJ8618",
1366,"STS","8,28(-29)","Totmonslow","Alstonefield",,,"SK1356",
1371,"HRT","24,1","`Edwinstree'","Alswick",,,"TL3729",
1376,"CHS","R1,36","[West] Derby","[Great and Little] Altcar","South Lancashire",,,
1381,"NTH","18,23. 35,3b","Nobottle","Althorp",,,"SP6865",
1386,"LIN","63,14","Epworth","Althorpe","Lindsey West Riding",,"SE8309",
1391,"HAM","6,1","Neatham","Alton",,,"SU7139",
1396,"HEF","10,52","Stretford","Alton",,,"SO4253",
1401,"LEC","13,66","`Goscote'","Alton",,,"SK3914",
1406,"STS","1,54","Totmonslow","Alton",,,"SK0742",
1411,"WIL","68,18","Amesbury","Alton",,,"SU1546",
1416,"WOR","15,4","`Doddingtree'","Alton",,,"SO7274",
1421,"WIL","24,2","Swanborough","Alton [Barnes]",,,"SU1062",
1426,"DOR","2,2","Cerne, Totcombe and Modbury","Alton [Pancras]",,,"ST6902",
1431,"WIL","2,4","Swanborough","Alton [Priors]",,,"SU1162",
1436,"WAR","41,2","{Fernecumbe}","{Altone}",,,"SP2367","speculative"
1441,"SUF","39,12","Carlford","{Aluredestuna}",,,,"unknown"
1446,"CON","5,8,2","Stratton","Alvacott",,,"SX3195",
1451,"CHS","26,7","Ruloe","Alvanley",,,"SJ4973",
1456,"DBY","9,1","Litchurch","Alvaston",,,"SK3933",
1461,"WOR","2,84","`Came'","Alvechurch",,,"SP0272",
1466,"SHR","ES5","Seisdon","Alveley",,,"SO7684",
1471,"STS","8,3","Seisdon","Alveley",,,"SO7684",
1476,"DEV","15,39","Fremington","Alverdiscott",,,"SS5125",
