osmid,phase,year,osmname,category,lat,lon
34942667.0,year_2,1500.0,St. Dionysius,parish,52.08525732,7.480363073
88853616.0,year_2,854.0,Stiftskirche St. Bonifatius,conventual,51.92094504,7.9686068
163946255.0,year_2,1250.0,Marienkirche,parish,51.9533733,7.987438351
39366894.0,year_2,1200.0,St.Martin,parish,51.84414889,7.827966984
95347255.0,year_2,1250.0,St. Nikolaus,parish,52.68443677,7.6029509
242251052.0,year_2,1349.0,Sankt Catharina,parish,52.66063186,8.123646498
186500393.0,year_2,850.0,Katholische Pfarrkirche St. Gertrud,parish,52.66531618,8.23755473
27074806.0,year_2,900.0,St. Laurentius,parish,51.95252217,7.991697095
277024895.0,year_2,1300.0,St. Viktor,parish,52.52097771,8.197845638
26351459.0,year_2,900.0,St. Aegidius,parish,51.83510906,8.310816208
112510305.0,year_2,1200.0,St. Ambrosius,parish,52.03628709,7.839121212
27190126.0,year_2,900.0,Martinikirche,parish,52.09261292,7.611624768
117634418.0,year_2,1300.0,St. Johannes Rulle,conventual,52.33575575,8.053755449
48560915.0,year_2,800.0,St. Pankratius,parish,52.17478044,7.528953243
189125466.0,year_2,1213.0,Sankt-Matthäus-Kirche,parish,52.20241098,8.336980458
315839065.0,year_2,900.0,Artländer Dom St. Nikolaus,parish,52.54273016,7.869781493
186261453.0,year_2,1000.0,St. Nikomedes,conventual,52.12649438,7.398084071
359374829.0,year_2,1300.0,Saint Peter,parish,52.72872405,0.223051110523644
254496627.0,year_2,1400.0,terrington st clement parish church,parish,52.75928698,0.298575938951608
342937183.0,year_2,900.0,st mary,parish,52.81361834,-0.158627480276311
73451393.0,year_2,900.0,Saint Marys,parish,52.76360608,-0.885919735986093
143418080.0,year_2,1400.0,Saint Deny's,parish,52.99970169,-0.408857410729589
359396890.0,year_2,1200.0,St Peter & St Paul,parish,52.66400739,0.161921194799917
114473330.0,year_2,800.0,St Paul's,other,52.13545851,-0.467496035247571
128994102.0,year_2,900.0,St Wulfram's Church,parish,52.91493633,-0.640831589051891
63893902.0,year_2,1400.0,Église Saint-Sulpice,parish,43.77498162,1.686543235
108971960.0,year_2,1350.0,Église Saint-Laurent,parish,43.29070005,1.227369222
116705769.0,year_2,1200.0,Église Saint-Sulpice,other,43.32799331,1.320660628
129762441.0,year_2,1350.0,Collégiale,other,43.44895237,1.886547403
249545347.0,year_2,1200.0,Église Notre-Dame,parish,43.31297719,1.532498659
177387185.0,year_2,1100.0,Église Saint-Saturnin,parish,43.19838661,1.752508542
63251283.0,year_2,1200.0,Église Notre-Dame du Bourg,conventual,43.8211879,1.724989462
77478869.0,year_2,900.0,Cathédrale Sainte-Marie,conventual,43.47449229,0.910646511364065
81589764.0,year_2,1200.0,Église Saint-Jacques,parish,43.46080008,1.326540172
368813424.0,year_2,1250.0,eglise,parish,43.25187085,1.677324002
113010463.0,year_2,1350.0,Notre-Dame,parish,43.6266201,0.876267221
166141896.0,year_2,1200.0,Abbatiale Sainte-Marie-du-Désert,conventual,43.69332159,1.115955428
64541109.0,year_2,1500.0,Église Notre-Dame de la Jonquière,parish,43.85184126,1.81085793
61781436.0,year_2,1500.0,Notre-Dame-de-la-Visitation,parish,43.95705495,1.231130753
65884823.0,year_2,1200.0,Collégiale Saint-Martin,other,43.6123492,1.080934539
109186700.0,year_2,1200.0,Cathédrale de la Nativité-de-Marie,conventual,43.25836878,1.203155927
5429932.0,year_2,800.0,Abbaye de Saint-Papoul,conventual,43.33071817,2.033629301
255017121.0,year_2,1100.0,Notre-Dame-de-l'Assomption de Beaumont-de-Lomagne,parish,43.88381618,0.988642212610572
82779787.0,year_2,1100.0,Cathédrale Saint-Alain,conventual,43.69920988,1.821805968
74679373.0,year_2,1367.0,Église Notre-Dame de l'Assomption,conventual,43.77126563,1.294268814
303507574.0,year_3,,Église Notre-Dame,parish,50.15502938,2.341736702
144640668.0,year_3,1200.0,"Chapelle, abbaye d' ourscamp",conventual,49.53467509,2.975333235
