PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes,lat,lon,easting,northing
17756,HAM,"1,10. 23,60. 68,5",Portsdown,Cosham,,,SU6505,,50.840875,-1.0782,465000.0,105000.0
18076,HAM,"3,8",Crondall,Cove,,,SU8655,,51.287652,-0.768139,486000.0,155000.0
18251,HAM,"NF9,28",Boldre,Coxlease,,,SU2907,,50.861779,-1.589312,429000.0,107000.0
18336,HAM,"6,16",Micheldever,Cranbourne [Grange] and [Upper] Cranbourne,,,,,,,,
18436,HAM,"2,8",`Buddlesgate',Crawley,,,SU4234,,51.103763,-1.401492,442000.0,134000.0
18716,HAM,"18,1-2",Titchfield,Crofton,,,SU5504,,50.832918,-1.220361,455000.0,104000.0
18756,HAM,"3,8",Crondall,Crondall,,,SU7948,,51.225733,-0.870041,479000.0,148000.0
18891,HAM,"NF9,39",Ringwood,Crow,,,SU1603,,50.82631,-1.774196,416000.0,103000.0
19761,HAM,"1,22. 4,1. 45,5. 47,2",Broughton,[East] Dean,,,SU2726,,51.032727,-1.616321,427000.0,126000.0
19776,HAM,"45,6",Broughton,[West] Dean,,,SU2527,,51.041809,-1.644774,425000.0,127000.0
19791,HAM,"32,2-3",`Chuteley',Deane,,,SU5450,,51.246623,-1.227711,454000.0,150000.0
20226,HAM,"NF9,2",Redbridge,Dibden,,,SU3908,,50.870183,-1.447125,439000.0,108000.0
20636,HAM,"68,1",Odiham,Dogmersfield,,,SU7751,,51.252977,-0.898033,477000.0,151000.0
20891,HAM,"1,W1",Bowcombe,{Done},Isle of Wight,{Ladone} IOW,SZ4978,speculative,50.599662,-1.309,449000.0,78000.0
21091,HAM,"6,16",Micheldever,Drayton,,,SU4243,,51.184688,-1.400444,442000.0,143000.0
21281,HAM,"3,9",Droxford,Droxford,,,SU6018,,50.958306,-1.147071,460000.0,118000.0
21361,HAM,"23,31. 69,7",Bermondspit,Dummer,,,SU5845,,51.201277,-1.171217,458000.0,145000.0
21366,HAM,"1,47",Somborne,{Duna},,,SU3629,speculative,51.059211,-1.487682,436000.0,129000.0
21371,HAM,"43,2",Broughton,Dunbridge,,,SU3126,,51.032526,-1.55928,431000.0,126000.0
21401,HAM,"IoW1,13",Bowcombe,Dungewood,Isle of Wight,,SZ4680,,50.61789,-1.35114,446000.0,80000.0
21666,HAM,"69,51",Redbridge,Durley,,,SU3510,,50.888424,-1.503777,435000.0,110000.0
21696,HAM,"IoW9,13",Bowcombe,Durton,Isle of Wight,,SZ5288,,50.689323,-1.265215,452000.0,88000.0
22016,HAM,"56,2",Mansbridge,Eastleigh,,,SU4518,,50.959667,-1.36063,445000.0,118000.0
22036,HAM,"(21,8) and note",`Bosbarrow',Eastoke,,,SZ7498,,50.776858,-0.951807,474000.0,98000.0
22046,HAM,"2,5",Fawley,Easton,,,SU5132,,51.085053,-1.273238,451000.0,132000.0
22091,HAM,"60,2",Hurstbourne,[Crux] Easton,,,SU4256,,51.301578,-1.39892,442000.0,156000.0
22156,HAM,"36,2",Basingstoke,Eastrop,,,SU6452,,51.263574,-1.084101,464000.0,152000.0
22346,HAM,"3,20",Kingsclere,Ecchinswell,,,SU5059,,51.327908,-1.283754,450000.0,159000.0
22716,HAM,"NF9,41",`Rowditch',Efford,,,SZ3094,,50.744826,-1.576161,430000.0,94000.0
22846,HAM,"1,27",Redbridge,Eling,,,SU3612,,50.906347,-1.489364,436000.0,112000.0
22976,HAM,"69,32",Fordingbridge,Ellingham,,,SU1408,,50.871325,-1.802402,414000.0,108000.0
23011,HAM,"23,59",Bermondspit,Ellisfield,,,SU6345,,51.200748,-1.099662,463000.0,145000.0
23276,HAM,"9,2",Odiham,Elvetham,,,SU7856,,51.297793,-0.882616,478000.0,156000.0
23336,HAM,"39,5",Broughton,Embley,,,SU3220,,50.978519,-1.545548,432000.0,120000.0
23371,HAM,"62,1",Neatham,Empshott,,,SU7531,,51.073432,-0.930849,475000.0,131000.0
23441,HAM,"69,27-28",Andover,Enham,,,SU3649,,51.239046,-1.485687,436000.0,149000.0
23566,HAM,"43,6",Somborne,{Eschetune},,,,unknown,,,,
23681,HAM,"1,W17",Bowcombe,{Etharin},Isle of Wight,,,unknown,,,,
23831,HAM,"8,1",Holdshott,Eversley,,,SU7762,,51.35187,-0.89566,477000.0,162000.0
23906,HAM,"23,21",Kingsclere,Ewhurst,,,SU5756,,51.300279,-1.183777,457000.0,156000.0
23931,HAM,"NF9,8",Redbridge,Exbury,,,SZ4298,,50.780053,-1.405635,442000.0,98000.0
23986,HAM,"3,11",Meonstoke,Exton,,,SU6121,,50.985175,-1.132332,461000.0,121000.0
24051,HAM,"1,33",Fordingbridge,Eyeworth,,,SU2214,,50.925032,-1.68835,422000.0,114000.0
24126,HAM,"1,46",Hurstbourne,Faccombe,,,SU3958,,51.319773,-1.441733,439000.0,158000.0
24246,HAM,"2,15",Fareham,Fareham,,,SU5806,,50.85061,-1.177448,458000.0,106000.0
24286,HAM,"69,14",Bermondspit,Farleigh [Wallop],,,SU6246,,51.209849,-1.1138,462000.0,146000.0
24326,HAM,"54,1-2",Somborne,Farley [Chamberlayne],,,SU3927,,51.041032,-1.445093,439000.0,127000.0
24371,HAM,"3,8",Crondall,Farnborough,,,SU8755,,51.287501,-0.753803,487000.0,155000.0
24481,HAM,"5,1",Neatham,[Lower and Upper] Farringdon,,,,,,,,
24556,HAM,"3,19. NF2,1",Redbridge,Fawley,,,SU4503,,50.824789,-1.362474,445000.0,103000.0
24771,HAM,"NF3,16",`Rowditch',Fernhill,,,SZ2496,,50.763089,-1.66107,424000.0,96000.0
24956,HAM,"64,1",Kingsclere,`Finley',,,SU5757,,51.30927,-1.183617,457000.0,157000.0
25411,HAM,"28,9",Fordingbridge,Fordingbridge,,,SU1414,,50.92528,-1.802173,414000.0,114000.0
25636,HAM,"45,3",Andover,Foxcotte,,,SU3447,,51.221185,-1.514525,434000.0,147000.0
25796,HAM,"34,1",Portsdown,Fratton,,,SU6500,,50.795917,-1.079085,465000.0,100000.0
25816,HAM,"3,5",`Evingar',Freefolk,,,SU4848,,51.229175,-1.313934,448000.0,148000.0
25856,HAM,"IoW1,5. IoW7,22",Bowcombe,Freshwater,Isle of Wight,,SZ3487,,50.68166,-1.520113,434000.0,87000.0
26091,HAM,"14,2",Neatham,[Lower and Upper] Froyle,,,,,,,,
26176,HAM,"6,14",Somborne,Fullerton,,,SU3739,,51.149065,-1.472391,437000.0,139000.0
26231,HAM,"18,2. 28,8. 66,1",Titchfield,Funtley,,,SU5608,,50.868791,-1.205551,456000.0,108000.0
26266,HAM,"35,9",Andover,Fyfield,,,SU2946,,51.212468,-1.586199,429000.0,146000.0
26501,HAM,"IoW6,4",Bowcombe,Gatcombe,Isle of Wight,,SZ4985,,50.662607,-1.308078,449000.0,85000.0
26526,HAM,"NF9,7",Redbridge,Gatewood,,,SU4300,,50.797964,-1.391218,443000.0,100000.0
27061,HAM,"NF9,34",`Rowditch',{Godesmanescamp},,,,unknown,,,,
27211,HAM,"16,3",{Welford},Goodworth [Clatford],,,SU3642,,51.176104,-1.486388,436000.0,142000.0
27276,HAM,"68,11",Fordingbridge,[North and South] Gorley,,,,,,,,
27326,HAM,"IoW6,2",Bowcombe,Gotten,Isle of Wight,,SZ4979,,50.608655,-1.308869,449000.0,79000.0
27601,HAM,"1,5",Neatham,Greatham,,,SU7730,,51.064176,-0.90252,477000.0,130000.0
27951,HAM,"NF9,14",Boldre,Gritnam,,,SU2806,,50.852835,-1.603596,428000.0,106000.0
28481,HAM,"IoW1,8",Bowcombe,`Haldley',Isle of Wight,,SZ4888,approximate,50.689667,-1.321837,448000.0,88000.0
28491,HAM,"IoW6,16",Bowcombe,Hale,Isle of Wight,,SZ5484,,50.653174,-1.237487,454000.0,84000.0
28801,HAM,"21,10. 25,1",Meonstoke,Hambledon,,,SU6415,,50.930902,-1.090652,464000.0,115000.0
29021,HAM,"IoW7,19. IoW8,10",Bowcombe,Hamstead,Isle of Wight,,SZ4091,,50.717248,-1.434759,440000.0,91000.0
29126,HAM,"69,39",Redbridge,Hanger,,,SU3313,,50.915518,-1.531938,433000.0,113000.0
29216,HAM,"3,21. 69,44",Kingsclere,Hannington,,,SU5355,,51.291673,-1.241294,453000.0,155000.0
29326,HAM,"NF9,13",Ringwood,Harbridge,,,SU1410,,50.88931,-1.802326,414000.0,110000.0
29386,HAM,"NF9,10",Redbridge,Hardley,,,SU4304,,50.833933,-1.39075,443000.0,104000.0
29391,HAM,"IoW6,11",Bowcombe,`Hardley',Isle of Wight,,SZ6386,speculative,50.670255,-1.10985,463000.0,86000.0
29826,HAM,"NF9,1",Redbridge,Hartford,,,SU3803,,50.825289,-1.461852,438000.0,103000.0
29891,HAM,"27,1. 35,2",Neatham,Hartley [Mauditt],,,SU7436,,51.118515,-0.944098,474000.0,136000.0
29896,HAM,"68,9. 69,12",Holdshott,Hartley [Wespall],,,SU6958,,51.316935,-1.011293,469000.0,158000.0
30086,HAM,"69,16",Baldslow,Hastings,Hastings,,TQ8009,,50.852504,0.555872,580000.0,109000.0
30121,HAM,"67,1",Basingstoke,Hatch [Warren],,,SU6148,,51.227938,-1.127774,461000.0,148000.0
