PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes,lat,lon,easting,northing,start_date,end_date
61266,OXF,"59,2",Lewknor,Sydenham,,,SP7301,,51.703007,-0.945015,473000.0,201000.0,1066,1086
61271,SOM,"22,16",North Petherton,Sydenham,,,ST3138,,51.137091,-2.987609,331000.0,138000.0,1066,1086
61276,DEV,"17,14",Lifton,Sydenham [Damerel],,,SX4076,,50.561782,-4.260414,240000.0,76000.0,1066,1086
61281,NFK,"4,17. 8,108-109",`Brothercross',Syderstone,,,TF8332,,52.854412,0.716484,583000.0,332000.0,1066,1086
61291,HAM,"15,3",Kingsclere,Sydmonton,,,SU4857,,51.310097,-1.312726,448000.0,157000.0,1066,1086
61296,STS,"11,48",Offlow,Syerscote,,,SK2207,,52.660296,-1.676166,422000.0,307000.0,1066,1086
61301,NTT,"2,3. 6,3. 21,2. 30,40",Newark,Syerston,,,SK7447,,53.015219,-0.89841,474000.0,347000.0,1066,1086
61306,SUF,"19,1. 44,2",Bishop's,Syleham,,,TM2078,,52.355908,1.229258,620000.0,278000.0,1066,1086
61311,GLS,"1,15",Berkeley,Symonds Hall,,,ST7996,,51.662387,-2.305005,379000.0,196000.0,1066,1086
61316,DOR,"11,17",Whitchurch [Canonicorum],Symondsbury,,,SY4493,,50.73389,-2.794884,344000.0,93000.0,1066,1086
61321,SOM,"36,4",Williton,`Syndercombe',,,ST0330,approximate,51.061111,-3.385562,303000.0,130000.0,1066,1086
61326,NTH,"18,40. 21,1. 43,10",`Alboldstow',Syresham,,,SP6341,,52.063813,-1.082415,463000.0,241000.0,1066,1086
61331,LEC,"29,3;17. 40,14",Framland,Sysonby,,,SK7420,approximate,52.772551,-0.904543,474000.0,320000.0,1066,1086
61336,LEC,"13,60",`Goscote',Syston,,,SK6211,,52.693163,-1.084086,462000.0,311000.0,1066,1086
61341,LIN,"14,91. 39,3(-4). CK57",`Threo',Syston,Kesteven,,SK9240,,52.949527,-0.632168,492000.0,340000.0,1066,1086
61346,NTH,"18,1",`Hamfordshoe',Sywell,,,SP8267,,52.295034,-0.799044,482000.0,267000.0,1066,1086
61351,CHS,"19,3",Bucklow,[Nether] Tabley,,,SJ7278,,53.298224,-2.421571,372000.0,378000.0,1066,1086
