"","id","morph","azimuth","area","trait_1","trait_2","trait_3","trait_4","trait_5","trait_6","trait_7","trait_8","name","date","dating_notes","xlong","ylat","date_type","xeast","ynorth","date_emp","model_age_mean","model_age_sd"
"714",650,"horseshoe_east",87.732001,2775.263906,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Sramoch (Pr.)",1087.121,"Date derived through multiple linear regression (Klassen et al. 2018).",103.83169,13.33938,"regression",373489.4,1474956,NA,955.004423622759,141.797825144037
"715",157,"square",91.282592,2778.351344,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"Tuol Sa Ouey",930.5793,"Date derived through multiple linear regression (Klassen et al. 2018).",103.89379,13.50467,"regression",380279.2,1493210,NA,924.970060209411,171.067336253018
"716",629,"square",82.333304,2793.885857,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Kouk Prasat Don On II",985,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.76194,13.5115,"graphbased",365987.9,1494044,NA,1031.89962618014,141.801107781823
"717",1050,"square",99.782432,2805.302293,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Unknown",933,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",103.76246,13.4202,"graphbased",366021.2,1483938,NA,896.430706987878,140.075379177445
"718",594,"square",84.187478,2816.989938,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Tuol Prasat Raka Oab",930.5793,"Date derived through multiple linear regression (Klassen et al. 2018).",103.77637,13.37867,"regression",367508.9,1479337,NA,1051.87158378397,140.065664667989
"719",518,"horseshoe_east",90,2817.826955,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Kouk Kpuos",1021.586,"Date derived through multiple linear regression (Klassen et al. 2018).",103.88344,13.36828,"regression",379097.9,1478136,NA,1080.93733367139,140.965567355163
"720",11,"horseshoe_east",96.666649,2825.667556,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Kouk Rosey",1067.197898,"Date derived through multiple linear regression (Klassen et al. 2018).",103.675526,13.666318,"regression",NA,NA,NA,960.003714104384,139.89137816981
"721",375,"horseshoe_east",99.950665,2857.185311,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"Kôk Kbal Romeas",930.5792673,"Date derived through multiple linear regression (Klassen et al. 2018).",104.05279,13.2468,"regression",NA,NA,NA,1008.15473362554,168.356910026242
"722",123,"square",72.853737,2860.808261,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Kouk Trâpeang Rong",976.1908,"Date derived through multiple linear regression (Klassen et al. 2018).",103.72645,13.59351,"regression",362218.7,1503129,NA,1031.01015807097,141.738723401767
"723",575,"square",98.031638,2868.509836,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Kôk Balang",1016,"Date derived through graph-based semi-supervised machine learning (Klassen et al. 2018).",104.01928,13.28617,"graphbased",393763.8,1468988,NA,1002.01780468895,144.970082247583
